Coding,Message
Community,"If you are a diver and have witnessed the snapper and grouper pointing out the lionfish, please add a comment on the link as some guy referred to it as ""ridiculous"""
Community,Thank You
Community,"Thanks to a grant from NOAA, the RMP had been able to license locals in hunting lionfish. Here are the guys from Ocean Connections Dive Shop who are now legally able to do their part in reducing lionfish populations and get a snack out of it as well. If you know of any local divers or snorkelers who are interested in getting their license, please contact us so we can organize a workshop."
Action,"Check back regularly to see the submissions for this year's photo competition.  Winners will be announced in August and featured in the 2010 RMP Calendar, which will be available in late Sept. \n\nNames of the submitters will not be shown prior to judging so as to not bias the results."
Community,Thanks Allison! We miss you guys down here! :) ~ Christi
Community,It's a beautiful day in the neighbourhood! \n27\xb0/82\xb0 and bright blue sky!\nSending nice warm vibes to all our half (or whole) frozen friends!!
Action,Nuevas bolsas de venta... Tienen un precio de $5 (100lps)
Community,Danny Hydes has been working with SOL and Nidia P. Webster making the back to school transition easier for the kids of Sandy Bay! #popinaction #localsthatcare\nGreat job! Keep up the good work!
Community,"Yes there was. We discussed the different zones and their respective rules, minimum safety requirements for anyone reading with tourists and what they all need to do to be licensed captains."
Community,Thank you @shawn jackson for documenting this rescue!
Information,"After receiving a tip off, 2 guys were apprehended in Mangrove Bight, suspected of poaching. As the beach was full of trash, community service seemed a better option than jail. After filling 24 large trash bags of plastic over the afternoon, the men admitted that they had to poach as they hadn't worked for 6 weeks. To enable them to feed their families, we took the trash and them to Coxen Hole where they were able to sell the plastic. Hopefully we won't find these guys back on the reef, but if we do, we know where lots of trash still is."
Community,Thanks Barbara we appreciate it!
Community,Sorry guys I guess I cant message you :(
Action,Also please remember that we need HD quality photos!
Information,This is incredible! \nThe canaries in the mines have stopped chirping! Now what?
Action,"FINALLY HAS THE 2010 CALENDAR IN STOCK AFTER WAITING ALMOST 2 MONTHS FOR DELIVERY, THEY ARE ONLY $15 SO IF YOU WISH TO PLACE AN ORDER, CONTACT US AT info@roatanmarinepark.net"
Action,We're gonna party like it's your Earth Day!
Community,Thank you Jennifer Keck for this shot! It earned 3rd place in the Best Find category with this beautiful Flying Gurnard!
Community,http://deepseanews.com/2011/01/whats-eating-you/\n
Action,Karolyn Karr Eastham we still need a coordinator for West Bay... are you interested?
Information,This is the section of the Management Plan of the National Marine Park of the Bay Islands that pertains to the 'Special Marine Zones' (i.e. Sandy Bay- West End) If you would like a complete copy please feel free to stop by our office and we will give you a copy! Unfortunately it is too big to email :(
Community,Kevin Jones please email info@roatanmarinemark.net volunteer work is always available and doesn't necessarily need to be pre-arranged
Community,The Odyssey on the North Side
Action,It has been set. It is rather short notice but we figure it's better now than in two weeks. \nWe will be announcing the winners on Sunday (tomorrow) at Bananarama. Presentation will only be an hour starting at 6:30pm! \nFree shuttle leaving the entrance of West End at 6pm and coming back in intervals starting at 7:30. \nThere will also be crab races before the presentation and live music after!! \nA portion of the proceeds will be donated to the Roatan Marine Park. \nCome down to West Bay for a great night!!\nWe will be announcing all winners on FB on Monday for our off island supporters!!
Community,In front of Tranquil Seas is all we know!
Community,One of the 6 different radio spots we have on Radio Karakol!  Please be sure to tune in and listen!! \nhttps://soundcloud.com/roatanmarinepark/isla-de-roatan-marine-park-spanish
Action,"Our Corozal bee project has produced the Apicultores de Roatan a community of bee keepers. \nWe will have a launch of their first products very shortly in The Eco-store in West End, which for now includes Honey with pieces of honeycomb and Medicated Honey that is infused with propolis, peppermint and eucalyptus oils, which is amazing for relief from congestion, sore throat and other cold symptoms. \nThese products are very high quality which will have you hooked after the first taste! \nKeep your eyes and ears open for the date to come in for your free sample of the products!"
Community,Great idea!
Community,Contact Christi upstairs in the office or at 3289 1213 to redeem your prize :)
Community,I will change that when i order up the next batch of name cards
Information,We will continue today the search for the 8 missing at sea and we will extend the search asking for support to our partners in Belize.
Information,Take a look at these houses!! So many options for plastic bottles!
Information,1 of 2 Bonus Categories
Community,"Don't get us wrong, horses love to swim. But there are times and places that are adequate for this type of activity. This area happens to be in French Cay and is not one of those places."
Community,"Hola Karin, depende la situaci\xf3n se libera para alimentar otros peces, si no es gran cantidad y no es producto ilegal se le deja al pescador o si es gran cantidad se entrega a la casa hogar como la de Sandy Bay."
Community,"After the incident that took place in half moon bay this afternoon, we are looking for the set of dive gear that hopefully was recovered either inside or just outside the lagoon. If you, or someone you know found it, please contact us."
Information,Turtle monitoring workshop rescheduled to this evening 4:30-7 Polo's water board office behind Mares.  \nBeverages provided
Community,Congratulations Vero Yanes!!! \nWe are proud of you! Thank you for all your hard work during your internship with us. You helped with so many programs and projects and now you've graduated!! Keep up the good work!
Community,"Gloria Bennett Carnes unfortunately some people do not only see it as food for their family but are blinded by the GREED! This is the work of ONE individual... if it was within the limit of self sustenance or pesca de subsistencia we would have had no problems (expect the internationally protected species; turtle, of course!)"
Action,We need your t-shirts! \nAny old shirts that you have laying around we would like to turn them into reusable shopping bags with community groups! \nPlease contact Christi 32891213 for pick up or drop them off at the Marine Park!
Information,"To find out what we've been up to in October, click on the link below\nhttp://www.roatanmarinepark.com/newsletters/2010/10-October.pdf"
Action,This weeks challenge! The first 5 people that bring in a bag (decent sized) of marine debris (plastic) will be given one of the new RMP backpack bags! :) Shouldn't be too hard this week!
Action,There is so little known about the nesting beaches here on island that we are starting a campaign and heavy research on them.  Complete with an opportunity for  volunteers to camp at nesting sites and monitor the activity with the hope of adding the alterations to the management plan update! \nWe are looking for a turtle guru to work as a consultant (one with community experience) to help us with our community development.
Information,"This is so sickening... makes you think about all the plastic you use on a daily basis, all the things that we 'throw away' but, where is ""away""? "
Community,Yes it's a sea hare :)
Community,"We plan on working on improving the marine infrastructure around that area but with limited staff and so much area to cover, please be patient"
Community,"Of course it interests us..\n Thanks for the update. Is it still there?, We will come check out!"
Information,The latest newsletter is out. Please follow the link to find out what we have been up to in February
Community,This Monday and Tuesday May 11th and 12th
Community,"The Challenge\nPropose an innovative technology to scale-up coral reef restoration. Projects may promote growth, prevent death, or tackle the issue in any other logical, justified way. Your invention must be cost-effective, practical to implement, and suitable for development and testing in a public science museum. Any ideas? http://www.cappsci.org/prizes/coral-prize/"
Community,They were a close second! Mayan Princess won but they were all delicious!
Information,"To view the latest newsletter, please follow the link\nhttp://www.roatanmarinepark.com/newsletters/2010/09-September.pdf"
Community,We would like to say thank you to all our supporters. We would be happy to meet with owners and  staff of shops that have trouble selling the user fee or need further convincing. We have materials such as posters and brochures available to all so please email if you need these.
Action,Lionfish licensing taking place this afternoon in Half Moon Bay. Please be there 4pm sharp to participate in the workshop. Become a trained hunter and do you part in conserving Roatan's reefs
Community,Thanks Davin
Action,NEW EXTENDED DEADLINE!!!! JULY 15TH!!!
Community,"This was off the North Coast outside of Tela. It's a great thing to see more and more people taking care of the marine life, especially here in Honduras!"
Community,Whadda say?
Community,http://finance.yahoo.com/news/pf_article_113064.html \nRoatan is in the top 8 places to retire!! :)
Information,No new reports since the 17th... sorry
Community,"As voted by friends, members and supporters of the Roatan Marine Park this is this year's BEST FIND!!! Congratulations Donna Pieracini!"
Information,"This graph indicates in $, through the sale of user fees and memberships, how much each dive shop within Sandy Bay, West End and West Bay, generated for the Marine Park in 2013. We would like to say a huge thank you to all our supporters, big and small, and comment that without your support, we would be unable to fulfil even the simplest of our programs"
Community,We will have them to you shortly
Information,"The Roatan Marine Park is pleased to announce the hiring of Giacomo Palavicini to the position of Executive Director. Giacomo brings with him an extensive background in conservation and environmental and marine management as well as a passion for the reef here in the Bay Islands. Giacomo has been on staff with the Marine Park in the role of Director of the South Side and Patrols since August of 2012, and in that time has shown results and leadership qualities that will greatly benefit the RMP and leading our great team. Please join us in welcoming Giacomo as our new Executive Director of the Roatan Marine Park."
Information,Bonus Category 2 of 2
Information,"to find out about all of the Roatan Marine Park's achievements throughout 2010, please follow the link http://www.roatanmarinepark.com/newsletters/2010/12-December.pdf "
Action,"Buy your 2011 RMP calendar today. We can ship to the US, Canada and even Europe if you don't mind waiting till Januatry. Please email us on info@roatanmarinepark.net for more information"
Action,"It\u2019s that time of year again for the RMP underwater photo competition. You are invited to send 6 photos which can fall within any of the 6 categories. They must be taken by you, here on Roatan and underwater. Please attach a location, name and category for each photo submitted. The deadline is July 15th and all submitted photos will be available for viewing on facebook. The Best Find category will be judged by \u201cyou\u201d on facebook with the most votes winning that group. All other categories will be judged by independent adjudicators and the winners will appear in the 2014 RMP calendar."
Community,"Shout out to everyone that has the ""Coral Song"" stuck in your head!! \n""I'm coraall, I live in the big blue sea.... I'm coraall I live in a colony!"""
Action,We are taking orders now to get them shipped out next week. Inbox us for Paypal information and to give us your address!
Information,Unfortunately only 2 photos were submitted in this category!
Action,"We will be conducting a lionfish licensing program today at 4pm at the office in Half Moon Bay. If you are interested, please phone on 2445-4206"
Information,the turtles are in the office now so you can have a look at them or be there at 2pm
Community,either but please read the comment i posted on Eric's post
Information,Here is the weather forecast for Roatan for the next couple days!  For those of you freezing please remember that it is all relative... we are cold too!! It's a wet cold! \nhttp://www.windfinder.com/forecast/isla_de_roatan
Action,"Si Ariel, estoy bajandolas ahorita y ma\xf1ana te confirmo sus submissons :)"
Community,It's a shark kind of day! \nhttp://oceanencounters.net/journal/tag/great-white-sharks/
Information,In our travels most tourists are willing to abide by the rules and are thankful when we stop to talk to them... Sometimes it's harder to explain the value of our ecosystem to others...
Information,Anything like this would work!
Action,Tonight at Bananarama
Information,"Here are the details of funds raised over the past 10 months from dive shops in West End, West Bay and Sandy Bay. The values are in dollars and show bracelet and token sales, as well as memberships between January and October. We would like to say a huge thank you to all our supporters and without your help, we would never be able to achieve all our goals"
Information,"We were able to install 4 fishing moorings around Cordelia Banks. Part of an extensive marine infrastructure funded by CORAL and Port of Roatan, the RMP has also installed snorkel moorings and demarcation markers."
Community,"Thank you everyone for the likes!! Wooohoooo! Special thanks to Vanessa Solorzano for being our 7,000th like!! You have a free beer coozie coming your way!"
Community,For those of you that didn't get a chance to make it to the lionfish cook-off... These were the entries. Who do you think won??
Action,"Looking for some volunteers to walk the beach on cruise ship days!\n\nYou will be given training on the protected area, t-shirt and whistle!\n\nPlease contact us ASAP if you have a couple free hours in the morning on Tuesday, Wednesday and Thursday! The reef needs your help!!"
Information,"We are actually in a conference this week in Belize discussing with our colleagues from Belize, Guatemala and, Mexico why they think we've been seeing so many in the last couple of weeks... some of the information is awesome!"
Community,Check it all out at: \nwww.earthhour.org
Community,"Well, He is at it again!\nOur Director, Giacomo Palavicini, is in Guatemala building conservation bridges, specifically for sharks and rays. These bridges can only make conservation efforts throughout the region more efficient.\nBravo Giaco! Thank you for always going above and beyond!"
Information,"Now, let's talk about coral... As you might know, coral is a living animal. They have mouths and stomachs and have a symbiotic relationship with a microalgae that lives within its tissues. SO, anything that would affect an animal (DEET) or that would affect a plant (SUNBLOCK) is directly impacting our coral reef. We are fortunate to have the coral reef so close to us but it is so unfortunate being so close to us!  Please feel free to google deet for a full list of all the negative effects it has on living organisms or go to www.deet.com"
Community,"What a great day! Thank you to everyone who came down to support and a BIG Thank you for all the kind donations and to BananaramaDive Beach Front Resort for being such a great host! We had a fantastic day! We were so busy we didn't get to take enough photos, so please all share your photos with us. Thanks again to all of  you!!!"
Action,"wishes to remind people the photo competition is ending soon. 5 pics maximum per entrant and they must be from Roatan, HAPPY SNAPPING"
Action,"The Roatan Marine Park will be working with the Patronato (community council) of West End this Saturday for their fundraiser!! We will be helping with the kid activities which will include 50lps all day use of the inflatable slide, a mini beach scavenger hunt for teens, crab races for the whole family and a sand castle building contest if we have the interest!!! Do you guys think there is an interest? \n:) Saturday 11-5ish! Half Moon Bay, West End... See you there!"
Community,Photo of the Week! Do you know who the photographer of this beautiful sea hare is?
Action,Yes we can!  and you can pay via paypal
Community,Horrible shot but watch the video for the whole experience!
Community,"Is it too late to turn the tide on lionfish, here on Roatan, I hope not http://www.tribune242.com/searchresults/02022010_nkn-lionfish_news_pg3"
Information,We have bags and gloves!
Community,Yes! Now we are talking! \u201cworld\u2019s first feasible concept to clean the oceans of plastic.\u201d http://truththeory.com/2015/04/08/20-year-old-claims-he-can-rid-the-worlds-oceans-of-plastic/
Information,"Pretty soon, every channel between Flowers Bay and Man of War Key will have these 10ft, heavy duty, channel markers with solar beacons. 7 installed and 10 more to go."
Community,Thank you Ron Caswell for the photo! You and Rino are famous!!! Well at least in Honduras! :)
Community,Happy Easter from the team!
Information,Learning about teeth :)
Action,"ROATAN HONEY is available NOW at the RMP Eco Store. Come by TODAY for a tasting session with the producers themselves! We have medicated honey with propolis, eucalyptus and peppermint and honey with honeycomb."
Community,With representatives on island there was a meeting open to all members of the www.gobluecentralamerica.org site! It was a good time with good food and good people!
Action,Are you creative?? Do you like to act?? We need your help! \nWe are making short educational clips in English and Spanish to show the importance of the reduction of plastic bags and the impact they have on our environment! \nIf you have any ideas or would like to be in the clips please contact Christi 32891213
Action,They are $10 plus $3 for shipping and with the purchase of a bracelet or keychain you can get 50% off 2013 calendar (making it $5)!
Community,A great day forming the National Marine Park Committee. We continue working together to conserve and protect the Bay Islands for the future.
Community,Getting into the Christmas spirit!
Information,Busy day today followed by a busy day tomorrow... We are half way through the first set of trainings with Roatan's Supermarkets promoting the reduction of plastic bags!\r\n 60 employees from Eldon's this week and 70 from Plaza Mar next!
Community,Another Green Sea Turtle rescued yesterday and brought to safety. Thank you Maya Key Roatan for taking such good care of them. We are staying tuned for their release in the next few weeks.
Community,"We have been up that way every morning this week, will check the incident reports to double check what if anything has been seen or done! Thanks Chris "
Action,We are looking for participants in a study that is currently going on on Roatan; Hearing Loss in Professional Divers! \n\nIf you have been diving for 5 years or longer and have 30 minutes to spare you are eligible! \n\nThursday and Friday (September 26th and 27th) FREE PHYSICALS at AKR (cornerstone clinic) will be given to all those who meet the requirements.  \n\nFor more information please contact Barbara Acosta @ 8737-8320
Community,"The RMP will be holding the first derby of 2013 in conjunction with the Caribbean Cup Free Diving competition. From Saturday May 18th to Monday the 20th, teams of snorkelers and divers will be hunting around Roatan. Results of the derby and the cook off will be held at San Simon in West Bay on Wednesday 22nd"
Information,taking them down one fish at a time
Information,"wishes to remind people that there are only a few days left till the extension on the photo contest finishes. With such a high standard in photos, the 2010 calendar should be exceptional"
Information,"Deadline for the 2009 Marine Photo Contest is July 30.  Go to the ""Discussions"" tab for more info, including how to enter."
Information,"On Wednesday 13 of April our ranger in stopped a heaving sea cucumber poaching on Gibson bite and in Sandy Bay where 14 fishers had big bags full of live sea cucumber ready to take it out of the water. The organisms where set free, equipment impounded and there is and investigation on going. Any commercial fisheries on the Island is illegal. And this products go to the Asian market."
Action,Calendars are $10 and can be purchased at the Ecostore or Cruiseship kiosks
Information,"Waiting on water testing results... maybe they will tell us why the white algae is here and the green/yellow one is not, as it has been this time of year so many years before."
Community,"Willie Jerome Banks, no thanks :)"
Community,Only concern is whether or not you will have a guide boat to help kayaks come in and out of the reef?
Action,It's that time of year again. 
Community,"Melissa's, the wife, grape escape and sea quest deep all have new buoys. Nick Lakoff, i don't have all the GPS coordinates for the further east dive sites"
Action,Entries to have people's photos in the 2010 RMP calendar
Information,We have our patrols down in West Bay watching out for speeding boats. Please note that due to the circumstances of this time of year we WILL report all speeding boats to the Harbour Master that may result in fines. Please if you know of anyone that has a boat let them know...
Community,"It may have been awhile since you have seen it, or maybe it's the first time...but check out the Roatan Marine Park video on the Roatan Travel Network \nhttp://roatantravelnetwork.com/roatan-marine-park/"
Community,Second presentation at the Miguel Paz Barajona School.
Community,"Here is an article of the state of sharks in our country, why it is dangerous to eat shark and that you never really know that what you're eating! It may be generic ""fish cakes"" or ""salted, dry fish"" but make sure you ask what kind of fish it is made of! \nThis is very relevant during Holy Week! \nBe smart, be safe, save the sharks!!!"
Community,Great job! Great effort of just one of our POP divers!!
Community,Sorry about the delayed response... we will be on that asap :)
Information,Final count on LIKES= 138
Community,English Plastic video... from the www.algalita.org
Information,"In the past week we've been busy replacing old lines, adding new buoys and installing missing dive moorings, as well as getting some new cement chain where needed. Fixed dive moorings include Temptation (W.B.), Kaylee's Daydream (W.B), Chloe's Coral (W.B.), Shallow Seaquest (W.E.), Moonlight (W.E.), Dixies (W.E.), Grape Escape (W.E.), Shark Bait (B.B.), Marylyns (B.B.), Mary's Place 2 (B.F.K), Mr Bud (F.H.), French Cay Cut (F.C.) Piate's Point (P.T) and one or two others. Sandy Bay and Flower's Bay next if the weather permits"
Community,We will send a staff member to speak to Mayan Divers.
Action,"On Saturday 26th March 2011, lights will switch off all around the globe for Earth Hour. Join the cause by celebrating Earth Hour 2011 with the RMP en Punta Gorda! Come to the beach after the bridge from the main entrance at 6:30pm. Drums, punta, food, bonfire, fire dance, all for the planet! One person has the power to make change, you can make the change. See you there!"
Information,"Executive Director Carlos R Giacomo S Palavicini has been busy at a workshop on strategies of climate change, securing funding for  a great project providing solutions for our island. More information coming soon. Though he's sad he wasn't at the 10th Birthday we think that\u2019s a pretty awesome and important place to have been instead!"
Information,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses within the SBWEMR between January and July 2014. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservation message, we would be unable to continue protecting Roatan's reefs"
Community,Best Find Album. The photo with the most likes will win when judging stops at the end of the month. Good luck to all competitors
Community,I think this may be next week's photo! If  Naomi Gittoes - Artist Page give us permission :) 
Information,Those colorful rocks which people stand on and way more than just that
Information,"Take only pictures, leave only bubbles!!"
Action,"REMINDER:\nThis Friday, June 18th we will be holding our first lionfish huntathon! Please call us (445-4206) to reserve a spot -- cost is 300 lempiras (snorkel equipment, spears, transportation, drinks all included). Space is limited to 12 participants and only a few spots are left! We leave at 8:30 Friday morning and we'll be back by 3:30. Headed to Camp Bay and Calabash!"
Action,Save the date! 22-24 May 2015. 6th Annual Bay Islands Coastal Clean up. We're looking forward to it!
Community,"Thanks to the efforts from the community in French Cay, we were able to re-release a bunch of sea cucumbers which had been harvesetd that morning\nhttp://www.youtube.com/watch?v=7ct29nL9up8"
Community,"Tienen permisos para algunas actividades pero siguen rompiendo las reglas e insultando a la comunidad que protege esa area. Simplemente es falta de respeto al coral, a los islenos y a toda la isla de Roatan."
Community,"Hola Karla,estas en Roatan?  Lo puedes comprar en el Eco Store, Half Moon Bay, West End."
Information,"Weather Report... It's raining! \n\nYou might be able to make out the comment that Anthony made at the end... ""imagine that was snow?""\n\n Eh, I would rather not Anthony! Would rather not!"
Information,May it be a lesson to all of us!
Information,The Bay Islands National Marine Park extends 12 miles from shore for commercial fishing restrictions. It is probable that this one is from international waters and just needs to be properly labelled as such.
Action,This Saturday! Celebrating the opening of the Caribbean Cup we will have a lionfish cook off! All the athletes will be there as well as the mayor of Roatan! Get your appetites and cameras ready! Should be a fun night! Action starts at 6!
Action,Who will win?? Come out to Oasis this Thursday starting at 5 to have some fun and see some great photos!!
Community,Be on the look out for this banner... The restaurants that display this banner are members of the Bay Islands Responsible Seafood Guide and are responsible members of society!
Action,The 2010 photo contest has officially started! Be sure to snap some photos and send them in to info@roatanmarinepark.net. Contest ends July 31st!
Community,"Good morning, \nThere are many theories behind what is best for the turtle's navigation and magnetism. What we do is give them a rest at Maya Key and then we will release them in the open ocean on some of the sargassum as to not mess with their established imprint of their natal beach. \nWe have yet to make a trip into the open ocean on one of these releases but we will have to soon as we have quite a few babies. \nSo, to answer your question, please bring them in or feel free to put them back but if you choose the latter please head out a couple miles so they don't get washed right back onto the beach!"
Community,Prototype for our Corozal Honey displays! Thank you  Coconut Tree Divers & Go Pro Caribbean  and Bill Etches for helping out! They came out great!
Information,"Hello to all our supporters,\n \nThe RMP will like to inform you about the progress and activities that the RMP is working on to help protect our reefs:\n \nNicholas Bach\n \nDirector if infrastructure and communications\n \nActivities Accomplished: \n\nWork with mechanic on having the 140hp Engine \n\nOperational to patrol SBWE \n\nCollect fuel for boats\n \nClaro- Cel Phone Plan for RMP guard coasts, that way they will always have credit to respond to Emergency calls\n \nConduct Lionfish Workshops\n \nWork on Budget for Marine Infrastructure activities - MARFUND-KFW Project: \nThe ""Conservation of Marine Resources in Central America"" Project is a project within the framework of the bilateral cooperation between the Mesoamerican Reef region and Germany, executed by the Mesoamerican Reef Fund (MAR Fund-Fondo SAM) and co-financed by the Federal Republic of Germany through the Kreditanstalt f\xfcr Wiederaufbau (KfW) (German Development Bank).\n \nTry and Resolve Internet and Email Problems\n \nMeet with Giaco to discuss Park Rangers and Patrols\n \nConduct Lionfish Workshop\n \nMeeting with Eldons to sign MOU for Bags for Life \nCampaign: the campaign consists in distributing recycled bags or other alternatives to plastic to reduce the use of plastic\n \nDiscuss Grant Proposals\n \nChristi Etches \n\nDirector of Community Development\n \nActivities Accomplished:\n \nPreparing 2012 Operational Plan for Marfund - KFW Project\n \nReforestation in Punta Gorda with Diamond International\n \nRestaurant Inspections with new Digepesca Inspector: In the lobster season the RMP has supported Digepesca on their annual inspections, held around the restaurants of the entire municipality of Roat\xe1n\n \nMeeting in MASPLESCA in French Harbour: Discuss the issues and inform fisherman from Central America about the upcoming Law regarding Diving for Spiny Lobster in Honduras.\n \nMatra Macpui \nAdministrator \n\nPreparing 2012 Operational Plan for Marfund - KFW Project\n \nGEF- PMAIB Preparing the Five Year Final Report for Banco Interamericano de Desarrollo\n \nClaro- Cel Phone Plan for RMP guard coasts, that way they will always have credit to respond to Emergency calls\n \nQuick Books Installation: In order to guarantee the Eco - Store\xb4s financial sustainability and the transparency of its funds. \n\nMeeting to define the SBWE demarcation process: Agreement between SETUR, ICF, SEDENA, SAG and RMP for Cooperation and Coordination for the physical demarcation with bouys and signs for the National Marine Park throughout the Bay Islands\n \nDefining Calendar graphic, Stickers, Bags for Life Campaign Banners\n \nMeeting with Eldons to sign MOU for Bags for Life Campaign\n\nThanks for your support\nRoatan Marine Park, Working together to save Roatan's reef!"
Information,The seahorse trade is booming!! Please help out our ecosystem by spreading the word so no one else buys them either!!!  67 have been confiscated this year alone!! That's 2014!
Information,"Having received an email from a concerned resident from Port Royal regarding a large net in the lagoon, the Park Rangers, accompanied by the Navy mobilized and headed east. Near Fort Key, they found a huge net staked into the seagrass which had been in the water since 6pm the previous night. Within the net were starfish, fish, seafans and pieces of coral. With much effort, the net was removed and is now in our possession."
Action,Nice... we can never have enough help!
Community,Check out this nice little infographic full of helpful tips about sustainable traveling.
Community,Drew Baars what is it you are asking?
Action,Entries to have people's photos in the 2010 RMP calendar
Action,"last day for entries for the photo contest. So far over 200 photos entered. Remember, there will be a total of 28 photos chosen to be printed in the calendar, everyone has a chance to win"
Community,"Ever wonder what those ""seed"" pod type things are the periodically wash up on the beach... if you find any please keep them in the water, give us a call and for all that is holy please don't squeeze them! \n\n:)"
Community,Don't do this! Taking a starfish out of water is like drowning them in just a few minutes. It would be the equivalent of filling a human's lungs with water just to take a funny photo. Who's in?! Like and share to spread the word and keep our starfish safe.
Information,Paper Straws... this would be great for Roatan! 
Information,"Around 5pm last night, we received a tip off from an informant that there was a boat setting a turtle net near Palmetto. With 3 Park Rangers and 2 Police, the boat sped east and confiscated the net. Our Rangers have been searching for turtle nets for some time so it is always good to have one less in the water"
Community,How has the world changed in your lifetime? Find out here http://www.bbc.com/earth/story/20141016-your-life-on-earth
Action,Teams checking the scavenger hunt items!
Information,"To all our supporters, members and followers, you might have noticed that only some of the trash was picked up yesterday/today! We apologize for this as they did not expect the quantity of bags that we had waiting for them when they showed up! Hopefully it will all be taken away in the next couple of days!!"
Action,Workshop this evening 430-7 pm polo's water board office behind Mares west end!
Information,"If you ever do catch a reasonably sized lionfish, here are some recipes you could use once you have logged the capture on our website\nhttp://www.lionfishhunter.com/Lionfish%20Recipes.html"
Information,"For us here on Roatan (and all of Honduras) Sharks and Turtles are protected by law. Sharks also have high levels of mercury and are dangerous to eat. The other species in the Avoid Eating category play important roles in the reef ecosystem like eating algae and being the predators thus keeping lionfish in their place\nThe Choices with Caution are either seasonal like lobster or more abundant on the reef. They are on the yellow bc we will determine if, over the years, they will jump to the green or fall to the red!\nBest Choices are mostly open water fish that don't impact the reef, have healthy numbers in the wild and reach maturity at an early age. and then we have Lionfish... Lionfish are taking over but the fishermen are steadily selling a few hundred pounds a month with all the members of the program!"
Community,Only a few more days to check out the Coral Reefs of Honduras Exhibition at the Museo para la Identidad National! Exhibition closes on the 21st of Sept! \n\nIf you go please tag your photos #hondurascoral \nWe look forward to seeing your posts!!
Information,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses within the SBWEMR between January and August 2014. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservation message, we would be unable to continue protecting Roatan's reefs"
Information,Better late than never. The July newsletter is finally available on line
Community,"Ya, but you're privy to that information :)"
Community,Is there something specific why you think it has been dumped and is not just marine debris brought in by the change of currents and wind?
Community,Awesome Villagio Verde... congrats on becoming a member of gobluecentralamerica.org :)
Information,I seems we've been sharing a lot of these notifications lately! :(
Community,"Hi Evan, Yes - we are preparing whole new bunch of signs to put around the island to educate the public on environmental aspects and also to warn them about the consequences. Just this morning our Park Rangers and I went to a Trial where we are prosecuting four guys we caught a month ago butchering a sea turtle. We are still waiting for the Judge\u2019s decision, but it is likely that they\u2019ll get an L 50,000 fine plus alternative measures like a 1 year restriction for going near the reef. Andr\xe9s."
Community,"Please give Nick a call @ 2445-4206 or 2445-4208, he's there now!"
Information,"Sorry Guys, False alarm... As everything here on the island this was embellished! The turtle is not missing any fins and will not be released until next week! Sorry to get your hopes up but, we will keep you posted on the time and date of the real release! :)"
Community,Not entirely sure. Heard from fishermen out of west end
Community,"We are trying our best with this as well Jason, We have ordered more than 100,000 paper cups in hopes that it will reduce the need for plastic!! It's not the answer but a darn good alternative!"
Community,"We had a goal to hit 8000 likes by the end of the year and we achieved it 2 months early!!! Thank you Cheryl Baker Paige for being our 8000th like! I remember thanking you, Vanessa Solorzano not too long ago for being our 7000th! \n8000 strong and counting!! GO RMP FAMILY GO!"
Community,This is an example video of what happened in Mexico and they are suffering the consequences now but this problem is also going here and we are an Island so the effects are faster and stronger so lets keep all this in mind and let all be part of the solution.
Community,The possibilities are endless... tonight feels like the night!! \nhttps://www.facebook.com/media/set/?set=a.447761215323237.1073741836.441970152569010&type=1
Information,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses within the SBWEMR between January and April 2014. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservational message, we would be unable to continue protecting Roatan's reefs"
Community,CONGRATULATIONS! IT WAS JUST WON! TUNE IN TOMORROW FOR ANOTHER CHANCE :)
Action,Interesad@ en conservaci\xf3n marina? Oportunidad de realizar Pr\xe1ctica Profesional en el Roatan Marine Park! M\xe1s informaci\xf3n en el documento adjunto...
Action,"It\u2019s that time of year again for the RMP underwater photo competition. You are invited to send 6 photos which can fall within any of the 6 categories. They must be taken by you, here on Roatan and underwater. Please attach a location, name and category for each photo submitted. The deadline is July 15th and all submitted photos will be available for viewing on facebook. The Best Find category will be judged by \u201cyou\u201d on facebook with the most votes winning that group. All other categories will be judged by independent adjudicators and the winners will appear in the 2014 RMP calendar."
Community,"This just in! \nThere is a 60lbs Green Turtle spotted around Overheat Reef with a rebar gaff sticking out of it's neck. If spotted please do not try to remove the gaff yourself instead call us on VHF channel 16 or Giaco 3351-8591 or Christi 3289-1213. \nPlease be ready to give us a precise location, depth and time! \nThanks"
Community,We'll get to the bottom of this photo but it looks like he is trying to help get something off his shell.
Action,Photo of the week. We still have calendars on special... only $10
Information,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses outside the SBWEMR between January and June 2014. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservational message, we would be unable to continue protecting Roatan's reefs"
